,churn,account_length,voice_plan,voice_messages,intl_plan,intl_mins,intl_calls,intl_charge,day_calls,eve_calls,night_calls,customer_calls,Total_Charge
0,0,128,1,25,0,10.0,3,2.7,110,99,91,1,72.86
1,0,107,1,26,0,13.7,3,3.7,123,103,103,1,55.540000000000006
2,0,137,0,0,0,12.2,5,3.29,114,110,104,0,59.00000000000001
3,0,84,0,0,1,6.6,7,1.78,71,88,89,2,65.02
4,0,75,0,0,1,10.1,3,2.73,113,122,121,3,49.36
5,0,118,0,0,1,6.3,6,1.7,98,101,118,0,65.91
6,0,121,1,24,0,7.5,7,2.03,88,108,118,3,76.28
7,0,147,0,0,1,7.1,6,1.92,79,94,96,0,44.980000000000004
8,0,117,0,0,0,8.7,4,2.35,97,80,90,1,70.97
9,0,141,1,37,1,11.2,5,3.02,84,111,97,0,77.52
10,1,65,0,0,0,12.7,6,3.43,137,83,111,4,50.77
11,0,74,0,0,0,9.1,5,2.46,127,148,94,0,54.62
13,0,95,0,0,0,12.3,5,3.32,88,75,115,3,56.32
14,0,62,0,0,0,13.1,6,3.54,70,76,99,4,55.769999999999996
15,1,161,0,0,0,5.4,9,1.46,67,97,128,4,90.83000000000001
16,0,85,1,27,0,13.8,4,3.73,139,90,75,1,61.28999999999999
17,0,93,0,0,0,8.1,3,2.19,114,111,121,3,56.8
18,0,76,1,33,0,10.0,5,2.7,66,65,108,1,57.800000000000004
19,0,73,0,0,0,13.0,2,3.51,90,88,74,1,60.39
20,0,147,0,0,0,10.6,4,2.86,117,93,133,0,56.14
21,1,77,0,0,0,5.7,6,1.54,89,121,64,5,34.48
22,0,130,0,0,0,9.5,19,2.57,112,99,78,0,45.49
23,0,111,0,0,0,7.7,6,2.08,103,102,105,2,38.97
24,0,132,0,0,0,10.3,2,2.78,86,72,115,0,45.3
25,0,174,0,0,0,15.5,5,4.19,76,112,115,3,55.96
26,0,57,1,39,0,9.5,3,2.57,115,112,115,0,60.67
28,0,20,0,0,0,6.3,6,1.7,109,84,102,0,62.42
29,0,49,0,0,0,11.1,1,3.0,117,109,90,1,46.6
30,0,142,0,0,0,14.2,6,3.83,95,63,148,2,37.31
31,0,75,0,0,0,10.3,5,2.78,105,107,98,1,66.64999999999999
32,0,172,0,0,0,12.6,10,3.4,121,115,78,3,51.89
33,1,12,0,0,0,11.8,3,3.19,118,119,90,1,76.49
34,0,57,1,25,0,8.3,4,2.24,94,75,116,0,56.25
35,0,72,1,37,0,14.7,6,3.97,80,102,71,3,62.75
36,0,36,1,30,0,14.5,6,3.92,128,80,109,0,44.5
37,0,78,0,0,0,10.0,5,2.7,64,116,108,1,51.5
38,0,136,1,33,1,10.5,6,2.84,106,99,107,3,55.19
39,0,149,0,0,0,11.1,9,3.0,94,92,108,1,55.44
40,0,98,0,0,0,9.4,2,2.54,102,85,135,3,44.099999999999994
41,1,135,1,41,1,14.6,15,3.94,85,107,78,0,52.26
42,0,34,0,0,0,10.0,4,2.7,82,98,78,2,59.22999999999999
43,0,160,0,0,0,9.2,4,2.48,77,110,92,3,36.67
44,0,64,0,0,0,3.5,3,0.95,67,118,86,1,57.31
45,0,59,1,28,0,8.5,5,2.3,97,92,116,2,46.0
46,0,65,0,0,0,13.2,5,3.56,120,122,118,3,55.800000000000004
48,1,119,0,0,0,8.8,3,2.38,114,117,91,5,53.15
49,0,97,1,24,0,11.0,3,2.97,135,58,79,1,44.28
50,0,52,0,0,0,7.8,5,2.11,108,96,87,3,66.21
51,0,60,0,0,0,6.8,3,1.84,57,115,129,1,66.65
52,0,10,0,0,0,11.4,6,3.08,112,66,57,2,60.540000000000006
53,0,96,0,0,0,9.3,5,2.51,117,67,68,2,60.25
54,1,87,0,0,0,9.7,3,2.62,83,116,127,5,53.52
55,0,81,0,0,0,10.2,3,2.75,67,85,98,1,63.19
56,0,141,0,0,0,8.0,2,2.16,98,62,128,1,43.21000000000001
57,1,121,1,30,0,5.8,3,1.57,129,77,77,3,48.279999999999994
58,0,68,0,0,0,12.1,3,3.27,70,164,103,3,52.09
59,0,125,0,0,0,12.0,8,3.24,103,126,95,1,62.58
60,0,174,0,0,0,11.4,4,3.08,97,94,54,1,54.599999999999994
61,0,116,1,34,0,11.6,3,3.13,83,142,106,2,68.28999999999999
62,0,74,1,33,0,14.6,3,3.94,91,96,92,2,60.06
63,0,149,1,28,0,12.6,3,3.4,92,64,53,3,58.629999999999995
64,0,38,0,0,0,8.2,6,2.21,98,97,106,2,43.3
65,0,40,1,41,0,6.2,5,1.67,74,88,102,2,49.220000000000006
66,0,43,0,0,1,9.3,4,2.51,105,104,67,0,67.94999999999999
67,0,113,0,0,1,8.3,8,2.24,93,119,139,0,44.64
68,0,126,0,0,0,7.8,1,2.11,70,80,60,1,61.31999999999999
69,1,150,0,0,0,13.8,3,3.73,101,110,100,4,51.47
70,0,138,0,0,0,11.8,7,3.19,93,83,104,3,68.89
71,0,162,1,46,0,12.1,2,3.27,97,84,61,0,65.69
72,0,147,0,0,0,8.0,4,2.16,83,85,109,3,62.68
73,0,90,0,0,0,7.3,4,1.97,146,117,105,1,60.709999999999994
74,0,85,0,0,0,12.0,3,3.24,109,94,99,0,61.92
75,0,50,0,0,0,6.1,2,1.65,90,72,111,1,53.849999999999994
76,1,82,0,0,0,11.7,4,3.16,109,100,73,0,78.59
77,1,144,0,0,0,8.2,7,2.21,117,85,99,4,24.81
78,0,46,0,0,0,8.2,3,2.21,72,104,113,2,58.36
79,0,70,0,0,0,15.0,2,4.05,98,102,76,1,52.41
80,0,144,0,0,0,13.2,2,3.56,99,74,119,1,70.07
81,0,116,0,0,1,12.6,5,3.4,104,79,109,3,66.56
82,0,55,1,25,0,11.0,2,2.97,123,95,90,3,47.629999999999995
83,0,70,1,24,0,9.8,4,2.65,101,98,68,1,74.51
84,1,106,0,0,0,12.4,1,3.35,96,85,88,2,65.59
85,0,128,1,29,0,8.6,7,2.32,104,86,78,0,64.22
86,1,94,0,0,0,8.0,5,2.16,105,101,84,4,48.55
87,0,111,0,0,0,12.0,2,3.24,118,76,98,1,62.36
88,0,74,1,35,0,10.9,9,2.94,104,84,57,2,45.78
90,0,82,0,0,0,11.1,2,3.0,61,105,94,1,45.96
91,1,155,0,0,0,8.9,4,2.4,100,104,119,0,59.63
92,0,80,0,0,0,7.9,9,2.13,100,107,62,1,47.230000000000004
93,0,78,0,0,0,9.5,7,2.57,93,112,105,3,70.03
94,0,90,0,0,0,10.6,7,2.86,71,81,91,3,52.4
95,0,104,0,0,0,9.8,5,2.65,106,113,137,1,61.56
96,0,73,0,0,0,13.0,4,3.51,110,72,72,0,53.17999999999999
97,0,99,0,0,0,8.7,3,2.35,87,76,113,4,59.900000000000006
98,1,120,0,0,0,5.3,5,1.43,131,104,96,1,61.379999999999995
99,1,77,0,0,0,9.8,7,2.65,72,126,109,2,72.67
100,0,98,1,21,0,4.4,8,1.19,114,83,92,4,56.050000000000004
101,0,108,0,0,0,14.6,5,3.94,137,76,102,0,52.19
103,0,95,0,0,0,12.5,9,3.38,99,106,102,1,49.6
104,0,122,0,0,0,11.3,2,3.05,94,109,75,1,54.94
105,0,95,0,0,0,11.8,4,3.19,65,98,115,4,64.94
106,0,36,1,29,0,9.0,6,2.43,102,76,113,2,73.45
107,0,93,1,21,0,9.8,3,2.65,131,115,86,1,43.779999999999994
108,0,141,1,32,0,10.1,1,2.73,91,97,142,1,46.27
109,0,157,0,0,0,9.6,7,2.59,90,121,108,3,62.5
111,0,103,0,0,0,12.6,2,3.4,117,94,91,2,60.46
112,0,98,0,0,0,12.1,4,3.27,117,113,113,4,53.85
113,0,125,0,0,0,13.3,7,3.59,108,90,114,1,50.199999999999996
114,0,63,0,0,0,9.4,3,2.54,125,59,88,1,33.94
115,1,36,1,42,1,20.0,6,5.4,89,122,126,0,61.35
116,0,64,0,0,0,14.2,3,3.83,83,109,122,1,43.18000000000001
117,1,74,0,0,0,9.4,4,2.54,114,48,115,1,74.37
118,0,112,1,36,0,10.0,3,2.7,117,82,118,2,40.71
119,0,97,0,0,0,8.7,5,2.35,125,111,81,2,65.48
120,0,46,0,0,0,13.1,7,3.54,92,77,116,1,64.05
121,0,41,1,22,0,7.2,3,1.94,102,86,123,0,54.800000000000004
122,0,121,0,0,0,9.8,4,2.65,103,117,103,3,57.96
123,0,193,0,0,0,11.6,3,3.13,124,95,89,1,45.379999999999995
124,0,130,0,0,0,9.2,5,2.48,119,98,117,2,45.81
125,0,85,0,0,0,12.0,3,3.24,52,104,106,1,65.1
126,1,162,0,0,0,9.1,3,2.46,108,87,82,4,32.38
127,1,61,1,27,0,6.4,6,1.73,124,103,129,4,54.5
128,0,92,0,0,0,9.2,4,2.48,90,123,86,2,39.93
129,0,131,1,36,0,9.5,4,2.57,115,117,102,3,62.06
130,0,90,0,0,0,10.9,2,2.94,92,114,123,3,49.849999999999994
131,0,75,0,0,0,6.1,5,1.65,125,86,80,1,53.269999999999996
